date,How much of a priority is implementation of [curriculum] for your school?,How aligned is your HQIM To what extent are teachers held accountable to implementing [curriculum] through performance evaluations? with your school’s instructional vision?,To what extent is implementation of [curriculum] integrated with other school systems and initiatives (e.g. assessments and RTI)?,How often does school leadership review data on implementation of [curriculum] to support continuous improvement?
08/02/2025,2,2,2,1
18/02/2025,3,3,3,2
21/02/2025,2,4,1,3
25/02/2025,3,3,2,1
09/03/2025,2,1,2,2
13/04/2025,4,2,2,3
24/04/2025,3,3,1,3
27/04/2025,4,3,3,5
13/05/2025,2,2,3,1
27/05/2025,3,1,2,1
